Nombre,EjeMayor,PeriodoDias,Excentricidad
HD_5319_b,1.63515,674.59998,0.12
Kepler-306_e,0.247015,44.840975,
Kepler-253_b,0.0475233,3.783986,
Kepler-259_b,0.0790333,8.115317,
HD_231701_b,0.555583,141.60001,0.1
PH-2_b,0.825444,282.5255,0.41
CoRoT-18_b,0.0295483,1.9000693,0.04
Kepler-203_d,0.0987232,11.32972,
HD_75898_b,1.18906,418.20001,0.1
Kepler-224_b,0.0419025,3.132924,
Kepler-205_b,0.038467,2.75564,
MOA-2008-BLG-310L_b,,,
KIC_11442793_g,0.736177,210.60697,
GJ_1214_b,0.0143253,1.58040482,0
Kepler-268_c,0.373719,83.446393,
Kepler-135_c,0.0994132,11.448708,
Kepler-265_c,0.129538,17.028937,
16_Cyg_B_b,1.66027,798.5,0.681
HAT-P-25_b,0.0465813,3.652836,0.032
Kepler-341_e,0.238241,42.473269,
HD_213240_b,1.88529,882.7,0.421
Kepler-399_b,0.115973,14.425281,
Kepler-341_c,0.0783507,8.01041,
Kepler-265_d,0.240693,43.130617,
Kepler-243_c,0.144324,20.026218,
HD_12661_b,0.838172,262.70861,0.376834
Kepler-9_c,0.22473,38.90861,0.132575
HD_74156_c,3.8997,2520,0.38
Kepler-165_c,0.120683,15.31299,
Kepler-326_d,0.0700163,6.766888,
HD_20794_c,0.203628,40.114,0
Kepler-31_c,0.254502,42.6318,0
Kepler-82_b,0.16455,26.444,
Kepler-306_c,0.0732442,7.240193,
Kepler-85_e,0.168293,25.216751,
HD_38801_b,1.6471,696.3,0
HD_132563_B_b,2.62431,1544,0.22
Kepler-390_c,0.108535,13.060022,
Kepler-61_b,0.257458,59.87756,0
GJ_667_C_c,0.125092,28.13,0.34
HD_207832_c,2.1118,1155.7,0.27
Kepler-80_b,0.0645109,7.053,
Kepler-272_d,0.0964303,10.937304,
Kepler-44_b,0.0454854,3.24674,0
HD_5891_b,0.636168,177.11,0.066
Kepler-292_b,0.0368224,2.580827,
Kepler-228_d,0.0973508,11.094286,
Kepler-140_b,0.0429776,3.25427,
Kepler-245_d,0.214468,36.277108,
HD_173416_b,1.16272,323.6,0.21
Kepler-104_c,0.161331,23.668205,
Kepler-263_b,0.127191,16.568087,
Kepler-278_c,0.269422,51.078775,
HD_76700_b,0.0511051,3.97097,0.095
Kepler-366_b,0.043221,3.281959,
HD_39091_b,3.34651,2151,0.6405
HD_7449_b,2.33982,1275,0.82
HD_149026_b,0.0431325,2.8758911,0
Kepler-186_b,0.0378277,3.8867907,0.04
Kepler-219_c,0.156968,22.714613,
OGLE-2006-BLG-109L_c,4.52773,4927.5,0.15
Kepler-361_c,0.283685,55.188023,
Kepler-265_e,0.325506,67.831024,
Qatar-2_b,0.0215077,1.3371182,0
Kepler-293_b,0.140591,19.254196,
Kepler-166_b,0.0759843,7.650254,
HD_216437_b,2.48556,1353,0.319
HAT-P-49_b,0.0437742,2.691548,0
Kepler-367_c,0.278143,53.578637,
Kepler-313_b,0.118876,14.970418,
Kepler-150_c,0.0741975,7.381998,
Kepler-87_b,0.477022,114.73635,0.036
HAT-P-7_b,0.037964,2.204737,0
Kepler-316_c,0.0704356,6.827766,
PSR_B1257+12_C,0.416595,98.2114,0.0252
HD_49674_b,0.0571073,4.94737,0.087
HD_82943_b,1.1851,442.4,0.203
Kepler-342_c,0.17279,26.234138,
WASP-38_b,0.0758454,6.87188,0.028
Kepler-139_c,0.569736,157.072878,
HD_77338_b,0.0612143,5.7361,0.09
Kepler-29_c,0.109809,13.2907,0
HD_220773_b,4.94302,3724.7,0.51
WASP-6_b,0.0428704,3.361006,0.054
Kepler-206_c,0.108963,13.137471,
Kepler-169_c,0.066017,6.195469,
HD_159868_c,1.02595,352.3,0.15
HD_137388_b,0.88883,330,0.36
HD_95086_b,,,
Kepler-196_b,0.147733,20.739886,
Kepler-352_b,0.0911742,10.05537,
Kepler-329_b,0.0744278,7.416397,
Kepler-179_b,0.0382833,2.735926,
Kepler-176_b,0.0604835,5.433074,
Kepler-310_c,0.28808,56.47542,
Kepler-339_b,0.0570545,4.977656,
Kepler-124_d,0.192925,30.950851,
Kepler-52_c,0.10281,16.3850021,
HD_100777_b,1.03378,383.70001,0.36
HAT-P-5_b,0.0407152,2.788491,0
Kepler-125_b,0.0506571,4.164389,
Kepler-193_b,0.0990643,11.38848,
HD_222582_b,1.33658,572.38,0.725
Kepler-119_c,0.050338,4.125103,
Kepler-16_b,0.646795,228.776,0.0069
Kepler-32_d,0.128069,22.7802,0
Kepler-58_c,0.119982,15.5741568,
WASP-33_b,0.0255483,1.21986983,0
HD_128311_b,1.08649,454.2,0.345
HD_181433_d,3.02208,2172,0.48
TrES-1_b,0.0392516,3.030065,0
HD_4208_b,1.65355,828,0.052
Kepler-62_e,0.426299,122.3874,0.13
Kepler-120_b,0.0668458,6.312501,
HD_5388_b,1.76349,777,0.4
CoRoT-10_b,0.105463,13.2406,0.53
11_UMi_b,1.53498,516.22,0.08
Kepler-286_d,0.0640044,5.914323,
Kepler-338_c,0.164238,24.310856,
WASP-62_b,0.0567187,4.411953,0
Kepler-300_c,0.23162,40.714955,
HD_4732_c,4.60219,2732,0.23
Kepler-258_c,0.203997,33.653079,
kappa_CrB_b,2.71619,1300,0.125
Kepler-25_b,0.0702822,6.2385,0
HD_99492_b,0.121908,17.0431,0.254
Kepler-167_c,0.0743589,7.406097,
Kepler-291_b,0.0455136,3.546511,
HD_204941_b,2.55427,1733,0.37
Kepler-332_d,0.206247,34.21154,
HD_196050_b,2.51056,1378,0.228
WASP-11_b,0.0436466,3.722465,0
HD_111232_b,1.97489,1143,0.2
HD_117618_b,0.174852,25.827,0.42
Kepler-192_c,0.15002,21.2234,
HD_180902_b,1.38103,479,0.09
HIP_12961_b,0.25497,57.435,0.166
HD_63454_b,0.0362523,2.818049,0
BD_+48_738_b,1.11234,392.6,0.2
Kepler-62_c,0.0928559,12.4417,0.186815
Kepler-371_c,0.325944,67.968015,
NGC_2423_3_b,1.6555,714.3,0.21
Kepler-227_b,0.0877115,9.488015,
Kepler-33_c,0.118876,13.17562,0
Kepler-275_b,0.0926511,10.300682,
HD_13908_b,0.153755,19.382,0.046
HD_50499_b,3.87172,2457.8717,0.253675
CoRoT-14_b,0.0269122,1.51214,0
Kepler-176_d,0.170666,25.751974,
Kepler-319_d,0.196363,31.781925,
Kepler-80_d,0.0413591,3.072186,
Kepler-155_b,0.0641261,5.931194,
Kepler-342_d,0.226833,39.459357,
CoRoT-4_b,0.0903166,9.20205,0
HAT-P-19_b,0.0466409,4.008778,0.067
HD_154857_c,5.35635,3452,0.06
Kepler-24_c,0.105496,12.3318,0
Kepler-47_c,0.895669,303.158,0
GJ_163_b,0.0606753,8.631,0.11
Kepler-133_c,0.195273,31.517586,
Kepler-33_f,0.253499,41.02902,0
Kepler-116_b,0.0643964,5.968734,
Kepler-107_c,0.0564705,4.901425,
Kepler-84_e,0.178021,27.434389,
Kepler-109_b,0.0689299,6.48163,0
Kepler-315_b,0.410606,96.101141,
KIC_11442793_f,0.519687,124.9144,
HD_2039_b,2.19755,1120,0.715
Kepler-170_b,0.0778294,7.930592,
Kepler-36_c,0.128401,16.23855,0
Kepler-247_d,0.146486,20.477912,
Kepler-136_b,0.100165,11.5789,
XO-2_b,0.0368367,2.615838,0
Kepler-305_d,0.128062,16.738661,
Kepler-120_c,0.107059,12.794585,
Kepler-393_b,0.0858179,9.182417,
Kepler-96_b,0.125499,16.23844,0
Kepler-11_d,0.154764,22.6845,0.0036055
HD_187085_b,2.02754,986,0.47
HD_118203_b,0.0702997,6.1335,0.309
Kepler-106_b,0.0657994,6.16486,0
WASP-63_b,0.0574592,4.37808,0
Kepler-30_b,0.185524,29.334,0.042
